,id,name,domain,founded_at,state_code,country_code,entity_type,category_code,funding_total_usd,milestones,industry,size range,current employee estimate,num_employees_bucket,page_rank_value
0,c:100062,Vetter Idea Management System,getvetter.com,2011-08-01,,,Company,enterprise,,1,internet,11 - 50,12,1,9.521003171912529e-07
1,c:10015,Fitbit,fitbit.com,2007-10-01,CA,USA,Company,health,68069200,,"health, wellness and fitness",1001 - 5000,1185,1000,1.13518806875658e-05
3,c:10018,Demandbase,demandbase.com,2006-01-01,CA,USA,Company,analytics,33000000,3,marketing and advertising,201 - 500,188,200,3.91010845575893e-06
5,c:100212,Betts Recruiting,bettsrecruiting.com,2009-10-01,NY,USA,Company,consulting,,1,staffing and recruiting,51 - 200,61,50,2.07407889790617e-07
6,c:10022,Fundable.com,fundable.com,2012-05-22,OH,USA,Company,finance,,4,venture capital & private equity,11 - 50,8,1,1.24449006660271e-06
7,c:100238,Cardiosolutions,cardiosolutionsinc.com,2006-01-01,MA,USA,Company,medical,11300000,,medical devices,1 - 10,1,1,1.03170138123852e-08
8,c:100243,DeepFlex,deepflex.com,2004-01-01,TX,USA,Company,manufacturing,,,oil & energy,11 - 50,10,50,7.31732317691558e-09
9,c:1003,Wikinvest,wikinvest.com,2006-01-01,CA,USA,Company,web,2500000,2,internet,1 - 10,3,1,8.79166949264977e-07
10,c:238449,Nvest,wikinvest.com,2006-01-01,CA,USA,Company,software,15019999,,internet,1 - 10,3,1,8.79166949264977e-07
12,c:10049,INNCOM,inncom.com,1986-01-01,CT,USA,Company,hardware,,,information technology and services,51 - 200,40,50,3.10443852621673e-08
13,c:10050,Glacier Computer,glaciercomputer.com,,NH,USA,Company,hardware,,,computer hardware,11 - 50,17,1,1.7451916039619e-08
14,c:10054,Jumptap,jumptap.com,2005-01-01,MA,USA,Company,mobile,121500000,3,marketing and advertising,11 - 50,20,50,2.78888168798202e-06
15,c:100607,Jogabo,jogabo.com,2011-01-01,CA,USA,Company,games_video,40000,1,internet,1 - 10,3,1,3.2985534084817305e-08
18,c:100634,Dotcomweavers,dotcomweavers.com,2004-01-01,NJ,USA,Company,consulting,,1,internet,51 - 200,52,1,9.308694735974929e-08
19,c:10065,Courion Corporation,courion.com,1996-01-01,MA,USA,Company,software,840000,,computer software,51 - 200,38,50,7.28938826150734e-08
26,c:10069,PlayPhone,playphone.com,2003-04-01,CA,USA,Company,games_video,95097200,3,wireless,51 - 200,52,1,1.3950992551565002e-07
27,c:100756,Ambitious Minds,ambitiousminds.co.uk,2009-01-01,,GBR,Company,education,559522,,public relations and communications,1 - 10,0,1,4.93028249678796e-09
28,c:100777,Reach Further,reachfurther.com,2006-10-26,,GBR,Company,consulting,,1,professional training & coaching,1 - 10,1,1,1.1051147357122299e-08
